dataset;gene;soustype;typesurvie;pval_logRank;HR;n;FDR_logrank
GSE21653;TLE2;Luminal-A;DFS;0,5;-0,3;85;0,63
GSE21653;TLE2;Luminal-B;DFS;0,29;0,5;42;0,63
GSE21653;TLE2;HER2-enriched;DFS;0,73;0,3;22;0,73
GSE21653;TLE2;Basal-like;DFS;0,43;0,3;74;0,63
GSE21653;TLE3;All-tumours;DFS;0,64;0,1;248;0,82
GSE21653;TLE3;Luminal-A;DFS;0,81;-0,1;85;0,82
GSE21653;TLE3;Luminal-B;DFS;0,82;-0,1;42;0,82
GSE21653;TLE3;HER2-enriched;DFS;0,13;1,2;22;0,65
GSE21653;TLE3;Basal-like;DFS;0,35;-0,4;74;0,82
GSE21653;TLE4;All-tumours;DFS;0,14;0,3;248;0,70
GSE21653;TLE4;Luminal-A;DFS;0,28;0,4;85;0,70
GSE21653;TLE4;Luminal-B;DFS;0,72;0,2;42;0,76
GSE21653;TLE4;HER2-enriched;DFS;0,76;-0,2;22;0,76
GSE21653;TLE4;Basal-like;DFS;0,49;0,3;74;0,76
GSE21653;EIPR1;All-tumours;DFS;0,67;-0,1;248;0,97
GSE21653;EIPR1;Luminal-A;DFS;0,97;0;85;0,97
GSE21653;EIPR1;Luminal-B;DFS;0,97;0;42;0,97
GSE21653;EIPR1;HER2-enriched;DFS;0,32;0,8;22;0,80
GSE21653;EIPR1;Basal-like;DFS;0,32;0,4;74;0,80
GSE21653;HIRA;All-tumours;DFS;0,01;-0,6;248;0,05
GSE21653;HIRA;Luminal-A;DFS;0,3;-0,4;85;0,44
GSE21653;HIRA;Luminal-B;DFS;0,8;-0,1;42;0,80
GSE21653;HIRA;HER2-enriched;DFS;0,07;-1,7;22;0,18
GSE21653;HIRA;Basal-like;DFS;0,35;-0,4;74;0,44
GSE21653;CORO2A;All-tumours;DFS;0,82;0,1;248;0,82
GSE21653;CORO2A;Luminal-A;DFS;0,25;-0,5;85;0,70
GSE21653;CORO2A;Luminal-B;DFS;0,55;0,3;42;0,79
GSE21653;CORO2A;HER2-enriched;DFS;0,28;-0,9;22;0,70
GSE21653;CORO2A;Basal-like;DFS;0,63;0,2;74;0,79
GSE21653;NSD2;All-tumours;DFS;0,26;-0,3;248;0,48
GSE21653;NSD2;Luminal-A;DFS;0,9;-0,1;85;0,99
GSE21653;NSD2;Luminal-B;DFS;0,99;0;42;0,99
GSE21653;NSD2;HER2-enriched;DFS;0,29;0,9;22;0,48
GSE21653;NSD2;Basal-like;DFS;0,04;-0,9;74;0,20
GSE21653;PRDM2;All-tumours;DFS;0,24;0,3;248;0,60
GSE21653;PRDM2;Luminal-A;DFS;0,12;0,6;85;0,60
GSE21653;PRDM2;Luminal-B;DFS;0,9;0,1;42;0,90
GSE21653;PRDM2;HER2-enriched;DFS;0,63;-0,4;22;0,90
GSE21653;PRDM2;Basal-like;DFS;0,73;0,2;74;0,90
GSE21653;BRPF1;All-tumours;DFS;0,48;-0,2;248;0,67
GSE21653;BRPF1;Luminal-A;DFS;0,39;0,4;85;0,67
GSE21653;BRPF1;Luminal-B;DFS;0,67;-0,2;42;0,67
GSE21653;BRPF1;HER2-enriched;DFS;0,54;-0,5;22;0,67
GSE21653;BRPF1;Basal-like;DFS;0,35;0,4;74;0,67
GSE21653;KAT6A;All-tumours;DFS;0,73;-0,1;248;0,99
GSE21653;KAT6A;Luminal-A;DFS;0,82;-0,1;85;0,99
GSE21653;KAT6A;Luminal-B;DFS;0,99;0;42;0,99
GSE21653;KAT6A;HER2-enriched;DFS;0,57;-0,4;22;0,99
GSE21653;KAT6A;Basal-like;DFS;0,24;0,5;74;0,99
GSE21653;MLLT10;All-tumours;DFS;0,82;-0,1;248;0,82
GSE21653;MLLT10;Luminal-A;DFS;0,69;0,2;85;0,82
GSE21653;MLLT10;Luminal-B;DFS;0,57;-0,3;42;0,82
GSE21653;MLLT10;HER2-enriched;DFS;0,33;-0,8;22;0,82
GSE21653;MLLT10;Basal-like;DFS;0,77;0,1;74;0,82
GSE21653;KMT2D;All-tumours;DFS;0,31;-0,2;248;0,53
GSE21653;KMT2D;Luminal-A;DFS;0,23;-0,5;85;0,53
GSE21653;KMT2D;Luminal-B;DFS;0,47;-0,3;42;0,59
GSE21653;KMT2D;HER2-enriched;DFS;0,92;-0,1;22;0,92
GSE21653;KMT2D;Basal-like;DFS;0,32;0,4;74;0,53
GSE21653;AAAS;All-tumours;DFS;0,33;-0,2;248;0,41
GSE21653;AAAS;Luminal-A;DFS;0,16;-0,6;85;0,40
GSE21653;AAAS;Luminal-B;DFS;0,92;0;42;0,92
GSE21653;AAAS;HER2-enriched;DFS;0,08;-1,4;22;0,40
GSE21653;AAAS;Basal-like;DFS;0,32;0,4;74;0,41
GSE21653;DPF3;All-tumours;DFS;0,98;0;248;0,98
GSE21653;DPF3;Luminal-A;DFS;0,39;-0,4;85;0,65
GSE21653;DPF3;Luminal-B;DFS;0,03;-1;42;0,15
GSE21653;DPF3;HER2-enriched;DFS;0,36;-0,7;22;0,65
GSE21653;DPF3;Basal-like;DFS;0,9;0,1;74;0,98
GSE21653;AKAP1;All-tumours;DFS;0,13;0,4;248;0,43
GSE21653;AKAP1;Luminal-A;DFS;0,88;-0,1;85;0,88
GSE21653;AKAP1;Luminal-B;DFS;0,17;0,6;42;0,43
GSE21653;AKAP1;HER2-enriched;DFS;0,84;0,2;22;0,88
GSE21653;AKAP1;Basal-like;DFS;0,54;-0,3;74;0,88
GSE21653;DPF1;All-tumours;DFS;0,93;0;248;0,93
GSE21653;DPF1;Luminal-A;DFS;0,63;-0,2;85;0,79
GSE21653;DPF1;Luminal-B;DFS;0,41;-0,4;42;0,68
GSE21653;DPF1;HER2-enriched;DFS;0,17;-1,1;22;0,43
GSE21653;DPF1;Basal-like;DFS;0,1;0,7;74;0,43
GSE21653;CHAF1B;All-tumours;DFS;0,04;-0,5;248;0,20
GSE21653;CHAF1B;Luminal-A;DFS;0,15;-0,6;85;0,20
GSE21653;CHAF1B;Luminal-B;DFS;0,1;0,8;42;0,20
GSE21653;CHAF1B;HER2-enriched;DFS;0,77;0,2;22;0,77
GSE21653;CHAF1B;Basal-like;DFS;0,16;-0,6;74;0,20
GSE21653;EEA1;All-tumours;DFS;0,18;0,3;248;0,30
GSE21653;EEA1;Luminal-A;DFS;0,14;0,6;85;0,30
GSE21653;EEA1;Luminal-B;DFS;0,17;0,6;42;0,30
GSE21653;EEA1;HER2-enriched;DFS;0,79;0,2;22;0,79
GSE21653;EEA1;Basal-like;DFS;0,65;-0,2;74;0,79
GSE21653;NSMAF;All-tumours;DFS;0,92;0;248;0,92
GSE21653;NSMAF;Luminal-A;DFS;0,66;0,2;85;0,92
GSE21653;NSMAF;Luminal-B;DFS;0,87;0,1;42;0,92
GSE21653;NSMAF;HER2-enriched;DFS;0,62;0,4;22;0,92
GSE21653;NSMAF;Basal-like;DFS;0,01;-1,3;74;0,05
GSE21653;RAE1;All-tumours;DFS;0,74;-0,1;248;0,87
GSE21653;RAE1;Luminal-A;DFS;0,87;0,1;85;0,87
GSE21653;RAE1;Luminal-B;DFS;0,46;-0,3;42;0,87
GSE21653;RAE1;HER2-enriched;DFS;0,6;0,5;22;0,87
GSE21653;RAE1;Basal-like;DFS;0,82;-0,1;74;0,87
GSE21653;CBX4;All-tumours;DFS;0,92;0;248;0,92
GSE21653;CBX4;Luminal-A;DFS;0,49;-0,3;85;0,92
GSE21653;CBX4;Luminal-B;DFS;0,76;0,1;42;0,92
GSE21653;CBX4;HER2-enriched;DFS;0,82;-0,2;22;0,92
GSE21653;CBX4;Basal-like;DFS;0,75;0,1;74;0,92
GSE21653;EIF3I;All-tumours;DFS;0,72;0,1;248;0,86
GSE21653;EIF3I;Luminal-A;DFS;0,83;-0,1;85;0,86
GSE21653;EIF3I;Luminal-B;DFS;0,86;-0,1;42;0,86
GSE21653;EIF3I;HER2-enriched;DFS;0,47;-0,6;22;0,86
GSE21653;EIF3I;Basal-like;DFS;0,39;0,4;74;0,86
GSE21653;EED;All-tumours;DFS;0,66;-0,1;248;0,84
GSE21653;EED;Luminal-A;DFS;0,25;-0,5;85;0,63
GSE21653;EED;Luminal-B;DFS;0,97;0;42;0,97
GSE21653;EED;HER2-enriched;DFS;0,67;-0,3;22;0,84
GSE21653;EED;Basal-like;DFS;0,07;-0,8;74;0,35
GSE21653;TRIM24;All-tumours;DFS;0,56;-0,1;248;0,69
GSE21653;TRIM24;Luminal-A;DFS;0,44;-0,3;85;0,69
GSE21653;TRIM24;Luminal-B;DFS;0,22;-0,6;42;0,55
GSE21653;TRIM24;HER2-enriched;DFS;0,09;1,7;22;0,45
GSE21653;TRIM24;Basal-like;DFS;0,69;0,2;74;0,69
GSE21653;DCAF5;All-tumours;DFS;0,4;0,2;248;0,70
GSE21653;DCAF5;Luminal-A;DFS;0,34;0,4;85;0,70
GSE21653;DCAF5;Luminal-B;DFS;0,46;-0,3;42;0,70
GSE21653;DCAF5;HER2-enriched;DFS;0,68;-0,3;22;0,70
GSE21653;DCAF5;Basal-like;DFS;0,7;0,2;74;0,70
GSE21653;MTMR3;All-tumours;DFS;0,44;0,2;248;0,56
GSE21653;MTMR3;Luminal-A;DFS;0,68;0,2;85;0,68
GSE21653;MTMR3;Luminal-B;DFS;0,18;0,6;42;0,56
GSE21653;MTMR3;HER2-enriched;DFS;0,45;-0,6;22;0,56
GSE21653;MTMR3;Basal-like;DFS;0,35;0,4;74;0,56
GSE21653;HERC1;All-tumours;DFS;0,13;0,3;248;0,35
GSE21653;HERC1;Luminal-A;DFS;0,32;0,4;85;0,51
GSE21653;HERC1;Luminal-B;DFS;0,41;0,4;42;0,51
GSE21653;HERC1;HER2-enriched;DFS;0,93;0,1;22;0,93
GSE21653;HERC1;Basal-like;DFS;0,14;0,7;74;0,35
GSE21653;BSN;All-tumours;DFS;0,63;0,1;248;0,97
GSE21653;BSN;Luminal-A;DFS;0,97;0;85;0,97
GSE21653;BSN;Luminal-B;DFS;0,8;-0,1;42;0,97
GSE21653;BSN;HER2-enriched;DFS;0,27;-0,8;22;0,68
GSE21653;BSN;Basal-like;DFS;0,09;0,7;74;0,45
GSE21653;BTRC;All-tumours;DFS;0,05;0,4;248;0,12
GSE21653;BTRC;Luminal-A;DFS;0,07;0,7;85;0,12
GSE21653;BTRC;Luminal-B;DFS;0,01;1,3;42;0,05
GSE21653;BTRC;HER2-enriched;DFS;0,99;0;22;0,99
GSE21653;BTRC;Basal-like;DFS;0,73;-0,2;74;0,91
GSE21653;BAZ1B;All-tumours;DFS;0,51;-0,1;248;0,95
GSE21653;BAZ1B;Luminal-A;DFS;0,41;-0,3;85;0,95
GSE21653;BAZ1B;Luminal-B;DFS;0,84;0,1;42;0,95
GSE21653;BAZ1B;HER2-enriched;DFS;0,95;0,1;22;0,95
GSE21653;BAZ1B;Basal-like;DFS;0,58;0,2;74;0,95
GSE21653;ASH2L;All-tumours;DFS;0,46;-0,2;248;0,93
GSE21653;ASH2L;Luminal-A;DFS;0,03;-0,9;85;0,15
GSE21653;ASH2L;Luminal-B;DFS;0,86;-0,1;42;0,93
GSE21653;ASH2L;HER2-enriched;DFS;0,93;0,1;22;0,93
GSE21653;ASH2L;Basal-like;DFS;0,92;0;74;0,93
GSE21653;MTMR4;All-tumours;DFS;0,74;-0,1;248;0,89
GSE21653;MTMR4;Luminal-A;DFS;0,89;-0,1;85;0,89
GSE21653;MTMR4;Luminal-B;DFS;0,04;1;42;0,18
GSE21653;MTMR4;HER2-enriched;DFS;0,39;0,7;22;0,65
GSE21653;MTMR4;Basal-like;DFS;0,07;-0,8;74;0,18
GSE21653;MTA1;All-tumours;DFS;0,35;0,2;248;0,84
GSE21653;MTA1;Luminal-A;DFS;0,84;-0,1;85;0,84
GSE21653;MTA1;Luminal-B;DFS;0,78;-0,1;42;0,84
GSE21653;MTA1;HER2-enriched;DFS;0,77;0,2;22;0,84
GSE21653;MTA1;Basal-like;DFS;0,07;0,8;74;0,35
GSE21653;PRPF4;All-tumours;DFS;0,17;-0,3;248;0,43
GSE21653;PRPF4;Luminal-A;DFS;0,7;-0,2;85;0,96
GSE21653;PRPF4;Luminal-B;DFS;0,77;-0,1;42;0,96
GSE21653;PRPF4;HER2-enriched;DFS;0,99;0;22;0,99
GSE21653;PRPF4;Basal-like;DFS;0,05;-0,9;74;0,25
GSE21653;RRP9;All-tumours;DFS;0,73;0,1;248;0,79
GSE21653;RRP9;Luminal-A;DFS;0,58;-0,2;85;0,79
GSE21653;RRP9;Luminal-B;DFS;0,51;0,3;42;0,79
GSE21653;RRP9;HER2-enriched;DFS;0,79;0,2;22;0,79
GSE21653;RRP9;Basal-like;DFS;0,34;0,4;74;0,79
GSE21653;HGS;All-tumours;DFS;0,57;-0,1;248;0,57
GSE21653;HGS;Luminal-A;DFS;0,4;0,3;85;0,57
GSE21653;HGS;Luminal-B;DFS;0,2;-0,6;42;0,57
GSE21653;HGS;HER2-enriched;DFS;0,56;-0,5;22;0,57
GSE21653;HGS;Basal-like;DFS;0,39;-0,4;74;0,57
GSE21653;BUB3;All-tumours;DFS;0,69;0,1;248;0,79
GSE21653;BUB3;Luminal-A;DFS;0,79;0,1;85;0,79
GSE21653;BUB3;Luminal-B;DFS;0,35;0,4;42;0,60
GSE21653;BUB3;HER2-enriched;DFS;0,36;0,8;22;0,60
GSE21653;BUB3;Basal-like;DFS;0,11;-0,7;74;0,55
GSE21653;MTA2;All-tumours;DFS;0,74;0,1;248;0,92
GSE21653;MTA2;Luminal-A;DFS;0,44;0,3;85;0,88
GSE21653;MTA2;Luminal-B;DFS;0,53;-0,3;42;0,88
GSE21653;MTA2;HER2-enriched;DFS;0,39;0,7;22;0,88
GSE21653;MTA2;Basal-like;DFS;0,99;0;74;0,99
GSE21653;COPB2;All-tumours;DFS;0,61;0,1;248;0,84
GSE21653;COPB2;Luminal-A;DFS;0,43;-0,3;85;0,84
GSE21653;COPB2;Luminal-B;DFS;0,15;0,7;42;0,75
GSE21653;COPB2;HER2-enriched;DFS;0,83;-0,2;22;0,84
GSE21653;COPB2;Basal-like;DFS;0,84;0,1;74;0,84
GSE21653;WDR46;All-tumours;DFS;0,15;-0,3;248;0,33
GSE21653;WDR46;Luminal-A;DFS;0,01;-1;85;0,05
GSE21653;WDR46;Luminal-B;DFS;0,24;0,5;42;0,33
GSE21653;WDR46;HER2-enriched;DFS;0,26;0,9;22;0,33
GSE21653;WDR46;Basal-like;DFS;0,59;-0,2;74;0,59
GSE21653;ZFYVE9;All-tumours;DFS;0,82;0,1;248;0,82
GSE21653;ZFYVE9;Luminal-A;DFS;0,15;0,6;85;0,37
GSE21653;ZFYVE9;Luminal-B;DFS;0,41;-0,4;42;0,51
GSE21653;ZFYVE9;HER2-enriched;DFS;0,07;-1,7;22;0,35
GSE21653;ZFYVE9;Basal-like;DFS;0,31;0,4;74;0,51
GSE21653;PLAA;All-tumours;DFS;0,38;-0,2;248;0,63
GSE21653;PLAA;Luminal-A;DFS;0,22;-0,5;85;0,63
GSE21653;PLAA;Luminal-B;DFS;0,74;0,2;42;0,74
GSE21653;PLAA;HER2-enriched;DFS;0,69;0,3;22;0,74
GSE21653;PLAA;Basal-like;DFS;0,38;-0,4;74;0,63
GSE21653;CIAO1;All-tumours;DFS;0,27;0,2;248;0,81
GSE21653;CIAO1;Luminal-A;DFS;0,81;-0,1;85;0,81
GSE21653;CIAO1;Luminal-B;DFS;0,72;0,2;42;0,81
GSE21653;CIAO1;HER2-enriched;DFS;0,8;-0,2;22;0,81
GSE21653;CIAO1;Basal-like;DFS;0,79;0,1;74;0,81
GSE21653;SNRNP40;All-tumours;DFS;0,88;0;248;0,88
GSE21653;SNRNP40;Luminal-A;DFS;0,75;-0,1;85;0,88
GSE21653;SNRNP40;Luminal-B;DFS;0,16;0,7;42;0,80
GSE21653;SNRNP40;HER2-enriched;DFS;0,8;0,2;22;0,88
GSE21653;SNRNP40;Basal-like;DFS;0,76;-0,1;74;0,88
GSE21653;CDYL;All-tumours;DFS;0,15;-0,3;248;0,37
GSE21653;CDYL;Luminal-A;DFS;0,61;-0,2;85;0,76
GSE21653;CDYL;Luminal-B;DFS;0,48;0,3;42;0,76
GSE21653;CDYL;HER2-enriched;DFS;0,8;0,2;22;0,80
GSE21653;CDYL;Basal-like;DFS;0,05;-0,9;74;0,25
GSE21653;RPH3AL;All-tumours;DFS;0,91;0;248;0,91
GSE21653;RPH3AL;Luminal-A;DFS;0,68;0,2;85;0,85
GSE21653;RPH3AL;Luminal-B;DFS;0,03;1,1;42;0,15
GSE21653;RPH3AL;HER2-enriched;DFS;0,06;-1,8;22;0,15
GSE21653;RPH3AL;Basal-like;DFS;0,63;-0,2;74;0,85
GSE21653;STXBP5L;All-tumours;DFS;0,75;0,1;248;0,86
GSE21653;STXBP5L;Luminal-A;DFS;0,64;-0,2;85;0,86
GSE21653;STXBP5L;Luminal-B;DFS;0,86;0,1;42;0,86
GSE21653;STXBP5L;HER2-enriched;DFS;0,17;1,1;22;0,85
GSE21653;STXBP5L;Basal-like;DFS;0,83;0,1;74;0,86
GSE21653;PHF14;All-tumours;DFS;0,56;-0,1;248;0,56
GSE21653;PHF14;Luminal-A;DFS;0,13;-0,6;85;0,33
GSE21653;PHF14;Luminal-B;DFS;0,53;0,3;42;0,56
GSE21653;PHF14;HER2-enriched;DFS;0,04;1,9;22;0,20
GSE21653;PHF14;Basal-like;DFS;0,23;-0,5;74;0,38
GSE21653;RIMS2;All-tumours;DFS;0,77;0,1;248;0,92
GSE21653;RIMS2;Luminal-A;DFS;0,84;0,1;85;0,92
GSE21653;RIMS2;Luminal-B;DFS;0,92;0;42;0,92
GSE21653;RIMS2;HER2-enriched;DFS;0,59;-0,4;22;0,92
GSE21653;RIMS2;Basal-like;DFS;0,27;0,5;74;0,92
GSE21653;ECE2;All-tumours;DFS;0,17;-0,3;248;0,78
GSE21653;ECE2;Luminal-A;DFS;0,47;-0,3;85;0,78
GSE21653;ECE2;Luminal-B;DFS;0,82;0,1;42;0,87
GSE21653;ECE2;HER2-enriched;DFS;0,43;-0,6;22;0,78
GSE21653;ECE2;Basal-like;DFS;0,87;0,1;74;0,87
GSE21653;SETD1A;All-tumours;DFS;0,44;0,2;248;0,94
GSE21653;SETD1A;Luminal-A;DFS;0,94;0;85;0,94
GSE21653;SETD1A;Luminal-B;DFS;0,75;0,1;42;0,94
GSE21653;SETD1A;HER2-enriched;DFS;0,86;-0,2;22;0,94
GSE21653;SETD1A;Basal-like;DFS;0,33;0,4;74;0,94
GSE21653;IFT140;All-tumours;DFS;0,71;0,1;248;0,78
GSE21653;IFT140;Luminal-A;DFS;0,78;-0,1;85;0,78
GSE21653;IFT140;Luminal-B;DFS;0,16;0,7;42;0,78
GSE21653;IFT140;HER2-enriched;DFS;0,44;0,6;22;0,78
GSE21653;IFT140;Basal-like;DFS;0,61;-0,2;74;0,78
GSE21653;KMT2B;All-tumours;DFS;0,29;-0,2;248;0,40
GSE21653;KMT2B;Luminal-A;DFS;0,09;-0,7;85;0,40
GSE21653;KMT2B;Luminal-B;DFS;0,29;-0,5;42;0,40
GSE21653;KMT2B;HER2-enriched;DFS;0,32;-0,8;22;0,40
GSE21653;KMT2B;Basal-like;DFS;0,63;-0,2;74;0,63
GSE21653;ZFYVE16;All-tumours;DFS;0,55;-0,1;248;0,69
GSE21653;ZFYVE16;Luminal-A;DFS;0,36;-0,4;85;0,60
GSE21653;ZFYVE16;Luminal-B;DFS;0,21;-0,6;42;0,60
GSE21653;ZFYVE16;HER2-enriched;DFS;0,86;-0,1;22;0,86
GSE21653;ZFYVE16;Basal-like;DFS;0,35;-0,4;74;0,60
GSE21653;JADE3;All-tumours;DFS;0,25;0,3;248;0,42
GSE21653;JADE3;Luminal-A;DFS;0,07;0,8;85;0,35
GSE21653;JADE3;Luminal-B;DFS;0,47;-0,3;42;0,59
GSE21653;JADE3;HER2-enriched;DFS;0,2;-1,1;22;0,42
GSE21653;JADE3;Basal-like;DFS;0,72;-0,2;74;0,72
GSE21653;CKAP5;All-tumours;DFS;0,69;0,1;248;0,86
GSE21653;CKAP5;Luminal-A;DFS;0,05;-0,8;85;0,13
GSE21653;CKAP5;Luminal-B;DFS;0,16;0,7;42;0,27
GSE21653;CKAP5;HER2-enriched;DFS;0,02;2,1;22;0,10
GSE21653;CKAP5;Basal-like;DFS;0,98;0;74;0,98
GSE21653;TRIM66;All-tumours;DFS;0;0,7;248;0,00
GSE21653;TRIM66;Luminal-A;DFS;0,1;0,7;85;0,18
GSE21653;TRIM66;Luminal-B;DFS;0,66;0,2;42;0,66
GSE21653;TRIM66;HER2-enriched;DFS;0,11;-1,6;22;0,18
GSE21653;TRIM66;Basal-like;DFS;0,44;0,3;74;0,55
GSE21653;SETDB1;All-tumours;DFS;0,17;-0,3;248;0,43
GSE21653;SETDB1;Luminal-A;DFS;0,48;-0,3;85;0,55
GSE21653;SETDB1;Luminal-B;DFS;0,08;-0,8;42;0,40
GSE21653;SETDB1;HER2-enriched;DFS;0,55;0,5;22;0,55
GSE21653;SETDB1;Basal-like;DFS;0,49;0,3;74;0,55
GSE21653;WDR1;All-tumours;DFS;0,52;-0,1;248;0,66
GSE21653;WDR1;Luminal-A;DFS;0,53;0,3;85;0,66
GSE21653;WDR1;Luminal-B;DFS;0,28;0,5;42;0,66
GSE21653;WDR1;HER2-enriched;DFS;0,93;-0,1;22;0,93
GSE21653;WDR1;Basal-like;DFS;0,07;-0,8;74;0,35
GSE21653;PPP4R1;All-tumours;DFS;0,08;-0,4;248;0,40
GSE21653;PPP4R1;Luminal-A;DFS;0,38;-0,4;85;0,63
GSE21653;PPP4R1;Luminal-B;DFS;0,18;-0,6;42;0,45
GSE21653;PPP4R1;HER2-enriched;DFS;0,86;-0,1;22;0,86
GSE21653;PPP4R1;Basal-like;DFS;0,64;-0,2;74;0,80
GSE21653;MED16;All-tumours;DFS;0,21;-0,3;248;0,27
GSE21653;MED16;Luminal-A;DFS;0,15;-0,6;85;0,27
GSE21653;MED16;Luminal-B;DFS;0,22;0,6;42;0,27
GSE21653;MED16;HER2-enriched;DFS;0,27;-0,9;22;0,27
GSE21653;MED16;Basal-like;DFS;0,24;-0,5;74;0,27
GSE21653;ARPC1B;All-tumours;DFS;0,99;0;248;0,99
GSE21653;ARPC1B;Luminal-A;DFS;0,48;-0,3;85;0,99
GSE21653;ARPC1B;Luminal-B;DFS;0,66;-0,2;42;0,99
GSE21653;ARPC1B;HER2-enriched;DFS;0,19;-1,1;22;0,95
GSE21653;ARPC1B;Basal-like;DFS;0,8;0,1;74;0,99
GSE21653;PREB;All-tumours;DFS;0,55;-0,1;248;0,84
GSE21653;PREB;Luminal-A;DFS;0,43;-0,3;85;0,84
GSE21653;PREB;Luminal-B;DFS;0,54;0,3;42;0,84
GSE21653;PREB;HER2-enriched;DFS;0,9;0,1;22;0,90
GSE21653;PREB;Basal-like;DFS;0,67;0,2;74;0,84
GSE21653;TRIM28;All-tumours;DFS;0,02;-0,5;248;0,10
GSE21653;TRIM28;Luminal-A;DFS;0,54;-0,3;85;0,56
GSE21653;TRIM28;Luminal-B;DFS;0,56;-0,3;42;0,56
GSE21653;TRIM28;HER2-enriched;DFS;0,34;-0,7;22;0,56
GSE21653;TRIM28;Basal-like;DFS;0,45;-0,3;74;0,56
GSE21653;DCAF7;All-tumours;DFS;0,82;0,1;248;1,00
GSE21653;DCAF7;Luminal-A;DFS;1;0;85;1,00
GSE21653;DCAF7;Luminal-B;DFS;0,03;1;42;0,15
GSE21653;DCAF7;HER2-enriched;DFS;0,92;0,1;22;1,00
GSE21653;DCAF7;Basal-like;DFS;0,27;-0,5;74;0,68
GSE21653;SMNDC1;All-tumours;DFS;0,93;0;248;0,93
GSE21653;SMNDC1;Luminal-A;DFS;0,14;0,6;85;0,23
GSE21653;SMNDC1;Luminal-B;DFS;0,88;0,1;42;0,93
GSE21653;SMNDC1;HER2-enriched;DFS;0,08;1,4;22;0,20
GSE21653;SMNDC1;Basal-like;DFS;0,07;-0,8;74;0,20
GSE21653;KATNB1;All-tumours;DFS;0,04;-0,5;248;0,07
GSE21653;KATNB1;Luminal-A;DFS;0,39;-0,3;85;0,44
GSE21653;KATNB1;Luminal-B;DFS;0,44;0,4;42;0,44
GSE21653;KATNB1;HER2-enriched;DFS;0,04;-2;22;0,07
GSE21653;KATNB1;Basal-like;DFS;0,03;-1;74;0,07
GSE21653;SMYD5;All-tumours;DFS;0,17;-0,3;248;0,43
GSE21653;SMYD5;Luminal-A;DFS;0,69;-0,2;85;0,86
GSE21653;SMYD5;Luminal-B;DFS;0,98;0;42;0,98
GSE21653;SMYD5;HER2-enriched;DFS;0,15;-1,3;22;0,43
GSE21653;SMYD5;Basal-like;DFS;0,6;-0,2;74;0,86
GSE21653;SCML2;All-tumours;DFS;0,9;0;248;0,90
GSE21653;SCML2;Luminal-A;DFS;0,53;0,3;85;0,88
GSE21653;SCML2;Luminal-B;DFS;0,48;0,3;42;0,88
GSE21653;SCML2;HER2-enriched;DFS;0,5;-0,5;22;0,88
GSE21653;SCML2;Basal-like;DFS;0,88;-0,1;74;0,90
GSE21653;CORO2B;All-tumours;DFS;0,16;0,3;248;0,40
GSE21653;CORO2B;Luminal-A;DFS;0,12;0,7;85;0,40
GSE21653;CORO2B;Luminal-B;DFS;0,54;-0,3;42;0,68
GSE21653;CORO2B;HER2-enriched;DFS;0,44;-0,6;22;0,68
GSE21653;CORO2B;Basal-like;DFS;0,78;0,1;74;0,78
GSE21653;RACK1;All-tumours;DFS;0,01;-0,6;248;0,02
GSE21653;RACK1;Luminal-A;DFS;0,01;-1;85;0,02
GSE21653;RACK1;Luminal-B;DFS;0,3;-0,5;42;0,36
GSE21653;RACK1;HER2-enriched;DFS;0,02;-2,2;22;0,03
GSE21653;RACK1;Basal-like;DFS;0,36;-0,4;74;0,36
GSE21653;FBXW10;All-tumours;DFS;0,91;0;248;0,91
GSE21653;FBXW10;Luminal-A;DFS;0,06;-0,8;85;0,15
GSE21653;FBXW10;Luminal-B;DFS;0,69;-0,2;42;0,86
GSE21653;FBXW10;HER2-enriched;DFS;0,22;-1;22;0,37
GSE21653;FBXW10;Basal-like;DFS;0;1,3;74;0,00
GSE21653;KAT5;All-tumours;DFS;0,98;0;248;0,98
GSE21653;KAT5;Luminal-A;DFS;0,85;-0,1;85;0,98
GSE21653;KAT5;Luminal-B;DFS;0,4;0,4;42;0,98
GSE21653;KAT5;HER2-enriched;DFS;0,18;1,1;22;0,90
GSE21653;KAT5;Basal-like;DFS;0,73;0,1;74;0,98
GSE21653;ARPC1A;All-tumours;DFS;0,26;-0,3;248;0,43
GSE21653;ARPC1A;Luminal-A;DFS;0,08;-0,7;85;0,40
GSE21653;ARPC1A;Luminal-B;DFS;0,38;0,4;42;0,47
GSE21653;ARPC1A;HER2-enriched;DFS;0,24;0,9;22;0,43
GSE21653;ARPC1A;Basal-like;DFS;0,47;-0,3;74;0,47
GSE21653;TBL3;All-tumours;DFS;0,18;-0,3;248;0,45
GSE21653;TBL3;Luminal-A;DFS;0,15;-0,6;85;0,45
GSE21653;TBL3;Luminal-B;DFS;0,57;0,3;42;0,68
GSE21653;TBL3;HER2-enriched;DFS;0,37;0,7;22;0,62
GSE21653;TBL3;Basal-like;DFS;0,68;-0,2;74;0,68
GSE21653;GNB5;All-tumours;DFS;0,68;-0,1;248;0,76
GSE21653;GNB5;Luminal-A;DFS;0,59;0,2;85;0,76
GSE21653;GNB5;Luminal-B;DFS;0,76;0,1;42;0,76
GSE21653;GNB5;HER2-enriched;DFS;0,72;-0,3;22;0,76
GSE21653;GNB5;Basal-like;DFS;0,18;-0,6;74;0,76
GSE21653;RAI1;All-tumours;DFS;0,08;-0,4;248;0,18
